INSTNM,SAT_AVG,UGDS,COSTT4_A,TUITIONFEE_OUT,TUITFTE,AVGFACSAL,PFTFAC,C150_4,PFTFTUG1_EF
Vaughn College of Aeronautics and Technology,989,1721,30790,20450,14328,9139,1,0.3646,0.572
Cincinnati Christian University,989,669,25900,15266,9940,5323,0.2804,0.3894,0.5892
College of Mount St Joseph,989,1655,31989,25800,15013,6401,1,0.5821,0.629
Alderson Broaddus University,989,1032,33057,22740,9586,4924,1,0.4575,0.8359
Oakland City University,988,587,31104,19200,10681,3610,0.7989,0.6299,0.1549
University of Saint Mary,988,782,31515,23170,12320,5695,1,0.5303,0.3768
Woodbury University,987,1353,42465,33150,21113,9365,0.2633,0.4465,0.3276
Fitchburg State University,987,4148,17686,15065,6004,8371,0.5562,0.5029,0.6096
Texas A & M University-Commerce,987,6951,18487,17203,7721,7743,0.5806,0.4518,0.4444
San Diego Christian College,986,889,37696,25888,18089,5271,0.2844,0.4125,0.4433
Salem State University,986,7134,20601,14270,6709,8765,0.9972,0.4558,0.5097
The College of New Rochelle,986,3207,43273,31260,12484,8030,0.2377,0.2634,0.6418
Cumberland University,986,1198,33402,20200,9749,5864,0.4067,0.3714,0.4501
Central Washington University,986,9958,21401,20886,6413,7306,0.6774,0.5132,0.4676
Campbellsville University,985,2213,31545,22196,8816,5692,1,0.4377,0.3314
Catawba College,985,1273,37818,26820,17950,6342,1,0.5263,0.6893
California Baptist University,984,5797,39026,28122,18014,8355,0.4779,0.5808,0.5488
Columbus State University,984,6849,17029,15556,5949,6212,0.6241,0.3012,0.5283
Tarleton State University,984,11328,17709,14352,5831,7074,0.5227,0.4336,0.4743
West Liberty University,984,2412,18406,13540,4915,6482,1,0.4148,0.5467
Crown College,983,1095,34574,22430,11569,4584,0.2467,0.5563,0.66
Lake Erie College,983,839,39085,27368,10917,6327,1,0.4473,0.7007
Muskingum University,983,1641,33630,23662,10871,7269,0.5963,0.4791,0.7235
Wesleyan College,982,530,30878,19775,9336,7250,1,0.6389,0.5694
New Mexico State University-Main Campus,982,12886,17290,19644,4016,7954,0.9384,0.4328,0.7265
Lancaster Bible College,982,1212,27372,18270,12076,5605,0.3851,0.6952,0.3436
Moore College of Art and Design,982,437,47675,34048,23067,5557,0.1571,0.5758,0.6379
University of South Carolina-Upstate,982,4952,20848,20226,5701,6139,0.9656,0.405,0.4178
Northwood University-Florida,981,609,33485,22130,13200,6891,1,0.3525,0.4901
University of Saint Francis-Fort Wayne,981,1878,31516,25180,14943,5666,0.6219,0.5356,0.5629
Northwood University-Michigan,981,2920,32803,22130,11712,6534,1,0.5414,0.3208
Oklahoma Wesleyan University,981,1110,32241,22252,12207,5309,0.3077,0.5688,0.4634
Northwood University-Texas,981,645,31642,22130,9873,6060,1,0.3083,0.4372
Vanguard University of Southern California,980,2057,41952,29250,15125,7714,1,0.5232,0.5478
Shippensburg University of Pennsylvania,980,6493,20840,17916,7165,9483,0.7343,0.5483,0.7762
Radford University,980,8866,19987,21141,5606,7705,0.6762,0.5853,0.7162
Concord University,980,2474,17146,13490,2738,6123,0.5327,0.3576,0.7131
Fresno Pacific University,979,2496,33973,25716,14221,6562,0.8403,0.5412,0.2838
Grand View University,979,2079,31761,22628,13494,6421,0.4095,0.4795,0.4901
Friends University,977,1568,33388,23430,13821,6443,0.3392,0.3165,0.367
Valley Forge Christian College,977,767,29736,19394,13075,4733,1,0.4176,0.7016
Kentucky Christian University,976,547,29246,17418,8501,4594,1,0.3865,0.6355
Cleary University,976,450,17823,18720,13682,5403,0.0403,0.4423,0.3613
Lenoir-Rhyne University,976,1409,39425,29310,11750,6600,1,0.4877,0.73
Alvernia University,976,2169,39999,29060,16643,6152,1,0.5132,0.6695
California State University-Monterey Bay,976,5153,18479,17123,4501,7478,0.457,0.3828,0.4889
Purdue University-Calumet Campus,975,7466,16727,14966,6683,7937,0.9528,0.3131,0.3274
Franklin Pierce University,975,1664,44410,31000,12942,5299,0.3214,0.4409,0.8523
Keene State College,975,4643,24614,20161,11350,8750,0.4861,0.634,0.8788
Buffalo State SUNY,975,9190,18088,16382,3990,7444,0.4941,0.4892,0.5346
Lasell College,974,1667,43854,30000,17406,7409,0.3224,0.5294,0.8597
Northwest Christian University,974,478,34807,24930,9587,5040,0.9706,0.4615,0.5734
Lamar University,974,9175,21142,15925,6771,7689,0.7955,0.346,0.6095
Metropolitan State University of Denver,973,21696,14034,17837,5392,5904,1,0.2597,0.3384
Indiana University of Pennsylvania-Main Campus,973,12405,22936,20216,7816,9088,0.6653,0.5119,0.7801
Charleston Southern University,973,2904,33245,22090,11674,6087,0.5867,0.3615,0.6501
University of South Carolina-Aiken,973,2956,18466,18340,5206,6243,0.6145,0.4212,0.5485
Notre Dame de Namur University,972,1209,47115,31126,18965,8084,0.2827,0.4792,0.5
Colorado Mesa University,972,8733,18077,16748,6199,6428,0.4544,0.3005,0.7429
Chaminade University of Honolulu,972,1864,30801,20090,13775,8006,1,0.3843,0.5389
Ohio Valley University,971,394,27759,18750,9340,4740,0.2561,0.3645,0.6953
Auburn University at Montgomery,970,4322,16556,24950,7625,7173,0.9262,0.2705,0.533
Western Illinois University,970,9873,24375,15969,7597,8263,0.9028,0.561,0.5554
Midland University,970,1189,36214,27146,10948,5733,1,0.493,0.7429
Montclair State University,970,15182,22773,20196,8938,9661,0.3574,0.6339,0.6403
New York School of Interior Design,970,394,41178,26540,28158,6015,NA,0.5556,0.2079
Northeastern State University,970,7215,13296,12012,4087,5721,0.609,0.2969,0.3629
Eastern Washington University,970,11672,19831,19612,7467,7287,0.6404,0.4524,0.5104
Graceland University-Lamoni,969,1434,34494,23530,10433,4986,1,0.4704,0.4917
Tiffin University,969,3309,34771,20700,6222,6822,0.2264,0.461,0.4099
East Central University,969,3757,13735,12643,4410,5225,1,0.3384,0.5936
Louisiana College,968,1081,22940,14120,8282,5513,1,0.4251,0.755
Colorado State University-Pueblo,967,4375,18007,17649,5059,6619,0.4771,0.3306,0.6033
University of Hawaii at Hilo,967,3335,15284,18296,6601,8745,0.7556,0.3642,0.4025
Valley City State University,967,924,16086,14596,5331,5793,0.5772,0.462,0.3715
University of the Incarnate Word,967,6346,34487,24790,14974,7616,0.4557,0.4,0.527
California State University-San Marcos,966,10689,20386,17809,7628,8357,0.4852,0.4791,0.5496
Southern New Hampshire University,965,17172,39677,28884,10913,6991,1,0.542,0.2481
Plymouth State University,965,3986,24828,20030,11139,8065,0.4119,0.5596,0.7724
Angelo State University,965,5430,19511,15055,6454,6867,0.7851,0.2975,0.6785
Fairmont State University,965,3856,14710,12288,3141,6656,0.9405,0.3513,0.6149
Bay Path College,964,1454,40447,29959,14058,7754,0.2182,0.555,0.3261
Defiance College,964,871,38824,28690,12865,5811,0.3226,0.4558,0.7767
California University of Pennsylvania,964,6393,23081,13091,8093,9416,0.6737,0.4976,0.6295
Mansfield University of Pennsylvania,964,2640,21432,19316,6264,9064,0.6389,0.4962,0.7378
Frostburg State University,963,4575,19454,18376,4987,6570,0.6569,0.4655,0.6332
Southwestern Christian University,963,801,22983,14220,14390,4314,0.3373,0.2973,0.4423
Jefferson College of Health Sciences,963,810,31688,22400,16798,6610,0.5444,0.3974,0.2651
Indiana University-South Bend,962,5538,17377,17778,5333,5575,0.5782,0.258,0.2941
Husson University,962,2290,25019,15130,14005,6539,0.3693,0.4654,0.688
Daniel Webster College,962,626,27321,15630,13033,5077,0.3222,0.5356,0.6623
Methodist University,961,2172,45011,27830,13883,6726,0.6853,0.4249,0.6143
Tusculum College,961,1844,32783,22250,9276,4906,1,0.3391,0.7985
Saint Joseph's College of Maine,960,1276,43119,30990,12041,5824,1,0.5543,0.5353
Chestnut Hill College,960,1510,42663,31170,14874,6218,0.2353,0.4188,0.4408
Texas A & M University-Corpus Christi,960,9137,17782,15668,6678,7505,0.6801,0.4021,0.6783
Kutztown University of Pennsylvania,959,8538,23130,18943,7387,8599,0.9149,0.5482,0.7086
Mary Baldwin College,959,1307,39432,28720,11530,6471,0.2721,0.3908,0.5636
Brenau University,957,1683,34107,23350,12867,6737,0.4601,0.4554,0.3814
East Texas Baptist University,957,1132,30172,22590,12202,6153,0.7653,0.3333,0.6982
Mount Mary University,957,811,33166,25098,14521,5671,0.8642,0.4118,0.4363
Centenary College,956,1708,44586,30540,15624,6656,1,0.5673,0.5691
Southeastern University,955,2633,30333,19986,12284,6899,1,0.3835,0.5584
Shorter University,954,1518,30642,19670,9161,5154,0.6753,0.4638,0.6993
Purdue University-North Central Campus,954,3514,13713,17105,4733,6971,0.9619,0.2638,0.2281
Barclay College,954,233,24990,14090,15136,4622,0.9565,0.5946,0.4568
Eastern Nazarene College,954,1313,36567,27922,11697,5561,0.3112,0.5,0.75
Regis College,954,1188,47432,34380,17595,7055,1,0.4867,0.821
Pfeiffer University,954,947,34515,24150,11155,5808,0.6667,0.4815,0.6916
Castleton State College,954,2022,20799,24014,12064,6175,1,0.5149,0.7465
California State University-Channel Islands,954,4950,22570,17631,5852,8434,0.4741,0.5156,0.4676
Shorter University-College of Adult & Professional Programs,954,922,31260,8160,13904,4345,0.3582,0.549,NA
Howard Payne University,953,1059,32861,23200,11845,5553,1,0.4196,0.788
Texas Woman's University,953,9220,16345,17965,5374,7511,0.9718,0.4146,0.4192
Spalding University,952,1277,31021,22425,14240,7132,0.5263,0.4019,0.5
Hope International University,951,872,40303,26050,11581,5232,0.9,0.4508,0.3439
University of West Alabama,950,1988,17959,14170,9161,6408,0.5404,0.3161,0.5887
University of Saint Joseph,950,971,42885,33417,16296,8193,0.942,0.5212,0.612
Georgia Southwestern State University,950,2598,17839,14797,4347,5689,0.9658,0.3582,0.4239
University of West Georgia,950,9777,18879,15903,5394,5787,0.8225,0.4287,0.7004
Indiana University-Kokomo,950,2708,15874,17778,4930,5680,0.5093,0.2756,0.2485
Indiana University-Southeast,950,5699,16753,17778,5156,6539,1,0.3014,0.4914
MidAmerica Nazarene University,950,1390,32388,22290,9283,6156,0.949,0.553,0.3838
Delta State University,950,2638,17749,6562,5429,5908,0.6454,0.3543,0.4467
CUNY John Jay College of Criminal Justice,950,12838,13308,12569,3994,7339,0.3844,0.335,0.4682
Montreat College,950,661,33963,23520,8906,5125,1,0.419,0.417
Southeastern Oklahoma State University,950,3363,14050,13440,4433,6679,1,0.3059,0.3811
Western Oregon University,950,5142,21732,21759,5590,6100,0.5928,0.4443,0.5055
Alverno College,950,1833,30496,23231,17364,5550,0.4491,0.3852,0.5088
Marian University,950,1676,33656,24650,12247,6545,0.3616,0.4887,0.4806
Silver Lake College of the Holy Family,950,299,33274,23180,9864,4368,0.36,0.3684,0.2685
Caldwell College,949,1570,38223,29000,16805,7944,1,0.5345,0.7426
Southwestern Adventist University,949,715,27907,18640,11983,6105,0.5341,0.3824,0.6901
Cedar Crest College,948,1252,41240,33000,16566,7031,0.4335,0.5991,0.3627
Johnson State College,948,1433,20404,21950,10824,6661,1,0.3659,0.5558
Florida Agricultural and Mechanical University,947,8825,19191,17725,5104,7994,0.9972,0.4094,0.7405
Utica College,946,2831,44394,33320,15638,7905,0.3549,0.4715,0.5376
Carlow University,946,1496,35640,25416,15874,6870,1,0.6231,0.2231
East Stroudsburg University of Pennsylvania,946,6109,20282,19115,9230,9215,0.814,0.5604,0.5969
California State University-Sacramento,945,25991,19380,17788,5274,8364,0.4894,0.4285,0.4094
Lander University,945,2750,21628,19136,5591,5675,0.5958,0.515,0.6945
LIU Brooklyn,944,4905,42712,34120,23038,9917,0.427,0.3017,0.5407
LIU Post,944,4067,44701,34070,20243,10748,0.3926,0.3902,0.1262
LIU Hudson at Rockland,944,NA,NA,NA,21921,12301,0.3636,NA,NA
LIU Brentwood,944,23,NA,NA,20397,11481,0.3864,NA,NA
Gwynedd Mercy University,944,2031,39051,29450,15429,7046,0.2358,0.6598,0.4121
LIU Hudson at Westchester,944,NA,NA,NA,22939,14729,0.4286,NA,NA
LIU Riverhead,944,56,NA,NA,20121,9735,0.2188,NA,NA
Indiana University-East,943,3132,15334,17778,4719,5755,0.3836,0.2348,0.2128
Notre Dame College,943,1792,36250,26344,12208,4881,0.9828,0.387,0.5054
Immaculata University,943,2452,45011,30740,11628,5130,1,0.4828,0.5305
West Virginia State University,942,2195,13756,13864,3799,6067,0.6731,0.1868,0.6219
Webber International University,941,662,34949,21050,12442,4783,0.92,0.3333,0.6811
Mars Hill University,941,1393,36669,25636,9187,5017,0.5986,0.3818,0.7582
Averett University,941,870,36240,27500,14621,6415,1,0.3277,0.7143
Averett University-Non-Traditional Programs,941,790,NA,NA,9912,5570,1,NA,NA
Lynn University,940,1732,48735,33600,21746,5194,0.8182,0.4128,0.6711
University of Baltimore,940,3479,24835,16288,10352,9786,0.4622,0.3759,0.2735
Nichols College,940,1260,44886,32370,14317,5479,0.4646,0.4656,0.8536
St Francis College,940,2725,24739,20700,12946,8739,0.2544,0.5209,0.7447
Wayland Baptist University,940,4246,21543,12550,8331,4845,1,0.332,0.4817
Adams State University,939,2227,17759,18081,6026,5986,0.5088,0.227,0.6535
Clayton State University,939,6445,17487,14915,4628,6019,0.7957,0.2671,0.2436
Barton College,939,1043,37437,25396,14382,5838,0.6696,0.4839,0.6761
Ohio Christian University,939,3155,33077,17720,9752,1476,1,0.3143,0.274
Francis Marion University,938,3380,19965,18364,5615,7223,0.7782,0.4059,0.6065
Tuskegee University,937,2584,32853,18900,14071,6679,0.9685,0.4384,0.9034
Lock Haven University,937,4783,19145,17023,6779,9142,0.9366,0.4733,0.7949
The University of Texas-Pan American,937,17200,11601,13669,3951,7552,0.8549,0.393,0.6852
Bethany College,936,690,38226,25736,11782,5693,0.7089,0.4781,0.8551
Eastern Oregon University,935,3422,18959,16755,4456,6057,0.8714,0.2325,0.2958
Indiana Institute of Technology,934,5670,35911,24860,6358,6965,1,0.3201,0.3088
Holy Family University,933,2018,31949,27100,16634,6991,0.2789,0.5461,0.4357
Rivier University,932,1524,39525,28055,14282,6599,0.9231,0.5907,0.532
Eastern New Mexico University-Main Campus,932,3767,15021,10069,3199,5960,0.5205,0.2875,0.5845
Curry College,931,2794,47519,34715,20075,8319,0.2765,0.4502,0.7494
St Thomas Aquinas College,931,1279,36823,26340,17913,8773,0.351,0.5278,0.3781
La Roche College,931,1344,35493,24778,15204,5789,0.3409,0.4558,0.5599
Life Pacific College,930,475,24492,12500,8619,6394,0.1875,0.5111,0.3689
Barry University,930,4284,41019,28160,16547,7696,0.4266,0.3729,0.4293
Northwestern Oklahoma State University,930,2005,13065,11764,3135,5246,1,0.314,0.5361
Edinboro University of Pennsylvania,930,5756,19886,12701,5789,8925,0.8479,0.4175,0.6615
Rhode Island College,930,7253,14858,18300,6412,7607,1,0.4292,0.6312
Bethel University,930,5063,26864,15714,8975,3935,1,0.302,0.4705
Dallas Christian College,930,316,24499,14688,11221,4459,0.3958,0.3023,0.4135
Lyndon State College,930,1363,19178,20942,11502,6254,1,0.3506,0.7665
Mount St Mary's College,928,2617,47905,33852,21833,8055,0.2806,0.6379,0.6707
College of Our Lady of the Elms,928,1308,40802,30132,11375,6340,0.8421,0.6788,0.4074
Olivet College,927,1016,31515,23021,12367,5258,1,0.4341,0.6557
Rosemont College,927,511,45067,30950,14759,5011,0.2331,0.4559,0.6957
La Sierra University,926,2060,39842,29103,26008,7230,0.8898,0.4918,0.6247
University of Dubuque,926,1687,34206,25520,18183,6274,1,0.468,0.7449
William Penn University,926,1558,33081,23210,8602,5792,0.9574,0.3978,0.4293
University of North Carolina at Pembroke,926,5184,15784,14351,3693,6516,0.8113,0.327,0.6182
Montana State University-Northern,925,1250,17290,17312,5163,5164,0.663,0.3656,0.4877
Oakwood University,924,1854,34705,16234,11909,5307,1,0.3632,0.8161
University of Bridgeport,923,2835,45640,29090,16601,7160,1,0.281,0.6759
The University of Texas at El Paso,923,19527,15272,19175,4743,8167,0.7051,0.3946,0.5754
Southern Connecticut State University,921,8257,18628,20486,8775,8318,0.4177,0.4944,0.5912
California State University-Fresno,920,19911,16377,17447,3990,8027,0.5161,0.4859,0.5317
Missouri Valley College,920,1411,28754,18300,6158,4635,0.5732,0.2494,0.5006
College of Mount Saint Vincent,919,1635,37738,30290,17983,8049,0.3524,0.5152,0.7495
California State University-Northridge,918,33581,20899,17685,5994,8395,0.4602,0.4575,0.512
Indiana University-Northwest,918,4764,18092,17778,5114,6557,0.4709,0.259,0.3263
California State University-Stanislaus,917,7751,17161,17651,4704,8072,0.563,0.5198,0.5058
New Jersey City University,917,6373,19058,19065,7917,9101,0.9798,0.3174,0.3557
Southern Wesleyan University,916,1314,31054,22200,12008,5258,1,0.4426,0.526
Nyack College,915,1818,34586,23250,13307,6525,0.4886,0.4276,0.5061
Clarion University of Pennsylvania,915,5046,20478,13237,7400,9448,0.7321,0.5286,0.6059
Mount Aloysius College,915,1571,30884,20268,14007,6238,0.3396,0.37,0.5265
Saint Peter's University,913,2369,40921,32284,17043,8274,0.4382,0.5332,0.8225
Concordia College-New York,912,856,36593,28095,16503,5362,1,0.3937,0.7612
California State University-East Bay,910,12079,20676,17710,6821,8804,0.4163,0.3808,0.4054
Holy Names University,910,800,46994,33020,17424,7717,0.2392,0.3548,0.4208
Indiana State University,910,10173,19549,17992,5564,7071,0.7051,0.4159,0.7679
Jackson State University,910,6880,18724,15552,5600,6761,0.7274,0.3852,0.5941
University of Pikeville,909,1313,31005,17750,15184,5588,0.7113,0.309,0.4662
Warner University,908,1023,28555,18430,4616,4638,0.3448,0.4275,0.4817
LIM College,907,1508,41111,23645,23919,6582,0.1065,0.4586,0.6484
Kean University,905,11975,19462,17141,8190,9226,0.2657,0.4623,0.4902
CUNY York College,905,7361,13967,12606,3308,7001,0.3626,0.2635,0.367
St Thomas University,904,1035,37090,26370,15717,9486,1,0.3829,0.5897
University of Houston-Victoria,903,2879,17508,16868,5219,8067,0.6056,NA,0.3626
North Carolina A & T State University,902,8577,15313,16503,5098,8227,0.7231,0.4289,0.8
California State University-Bakersfield,901,7226,18061,17935,3182,8122,0.6512,0.3946,0.6128
Keystone College,901,1550,31012,21300,10472,6328,0.279,0.4221,0.6717
Georgian Court University,900,1398,38533,29606,18180,8029,0.4667,0.5133,0.4192
Dominican College of Blauvelt,899,1505,35825,24790,17452,7601,0.3455,0.3565,0.6993
Hillsdale Free Will Baptist College,899,195,23637,11600,9394,2709,0.4528,0.5119,0.9524
Trinity Lutheran College,898,192,31957,27042,9726,4771,0.7059,0.8571,0.64
Cabrini College,896,1286,43541,29000,13361,7005,0.3537,0.4561,0.7469
Saint Mary-of-the-Woods College,895,630,40349,27672,12258,4867,0.338,0.6049,0.4266
Thomas College,895,846,33792,22770,10550,6177,0.4247,0.4298,0.3312
Texas A & M University-Kingsville,895,9400,19721,17560,5669,7392,0.6426,0.341,0.4374
Five Towns College,894,740,31557,20770,12274,4824,1,0.3968,0.6818
University of Houston-Downtown,894,13297,18879,13734,6072,7279,0.5322,0.1408,0.2917
Morgan State University,893,6197,20108,16632,5394,7430,0.8691,0.3375,0.6612
Chicago State University,892,4321,18472,15424,8139,7512,0.7299,0.207,0.2731
Texas A & M International University,892,6560,15272,14314,3700,7689,0.6812,0.4298,0.6253
Greensboro College,891,802,37497,26306,12774,6025,1,0.3059,0.5418
Delaware State University,890,3719,20506,15692,6458,7478,0.6342,0.3717,0.7667
Northeastern Illinois University,890,8827,22273,15348,6847,6988,0.6473,0.2034,0.3394
Southern University and A & M College,890,5666,17928,8274,4459,6158,0.943,0.3183,0.749
Southern University Law Center,890,NA,NA,NA,11554,10863,0.5316,NA,NA
Winston-Salem State University,889,4877,15990,14281,4135,7643,0.7526,0.4553,0.5231
California State University-San Bernardino,888,15887,17030,17710,5417,8558,0.5046,0.4112,0.5029
Albany State University,887,3566,19025,18226,4431,5607,0.8679,0.4249,0.5663
Bowie State University,886,4313,18581,17538,4608,7393,0.5182,0.3524,0.5239
American International College,885,1513,40803,30040,10357,5700,0.1848,0.4487,0.6628
Adventist University of Health Sciences,884,2064,21358,11830,12441,6539,0.988,0.3953,0.0768
Our Lady of the Lake University,882,1509,33227,23938,15625,7587,0.3529,0.341,0.5929
Clark Atlanta University,880,2629,34201,21100,16788,6418,0.5904,0.3893,0.8589
Coppin State University,880,2880,16147,11186,1347,6952,0.4221,0.1387,0.5065
Mount Ida College,880,1261,41565,29377,16453,6336,0.381,0.3952,0.714
Norfolk State University,879,5955,18837,20596,4226,7608,1,0.3443,0.5784
Piedmont International University,878,197,22699,12455,6493,3006,0.6,0.4,0.5254
Tennessee Temple University,878,704,23217,12120,7629,2985,1,0.1897,0.4577
Felician College,877,1618,41750,29990,20665,6612,0.5749,0.4592,0.3953
Claflin University,873,1803,29849,15010,9889,6217,0.7048,0.437,0.752
California State University-Los Angeles,871,19525,14747,17504,4287,8767,0.4996,0.3565,0.456
University of Maryland Eastern Shore,871,3421,20587,15504,4159,7299,0.6021,0.3246,0.704
Post University,865,6616,40723,20925,14224,7340,0.1216,0.3583,0.1732
Medaille College,865,1716,30598,23812,14138,5457,0.4271,0.4914,0.6899
Sul Ross State University,865,2000,17254,13932,5807,6180,0.6818,0.2851,0.4871
Trinity Baptist College,863,289,16752,9840,7156,3450,1,0.3889,0.5725
Grambling State University,863,4100,20881,15118,4270,5794,0.8966,0.3167,0.6799
Cox College,863,832,24355,10376,16550,NA,1,0.9091,0.0317
Neumann University,861,2462,37314,24948,18159,6649,0.3755,0.5019,0.8094
Kentucky State University,860,2131,18387,15072,7858,6102,0.8113,0.1797,0.731
North Carolina Central University,859,5876,17873,16099,4987,7653,0.7302,0.3972,0.6221
Calumet College of Saint Joseph,855,988,19530,15620,14657,5564,0.246,0.3375,0.4869
College of Saint Elizabeth,855,947,43899,31095,18246,7174,1,0.5563,0.5232
Fisk University,854,611,38893,20449,11470,5525,0.8,0.5217,0.8185
Lincoln University of Pennsylvania,853,1614,22497,15084,10811,8170,1,0.3984,0.7422
Alcorn State University,851,3157,20330,6108,4029,6431,0.7768,0.3463,0.7507
Fayetteville State University,851,5077,13188,15401,3202,8064,0.8166,0.3215,0.3926
South Carolina State University,851,2876,25265,18910,9292,6666,0.7518,0.3568,0.7503
Elizabeth City State University,849,2276,10620,15286,3357,7545,0.9763,0.4159,0.6492
Savannah State University,847,4462,15531,15176,2937,5294,0.9859,0.2908,0.8213
California State University-Dominguez Hills,845,11894,12957,17260,5563,8202,0.3877,0.2935,0.3058
Prairie View A & M University,845,6731,16782,15350,5137,7307,0.8333,0.3652,0.764
University of Arkansas at Pine Bluff,842,2503,15414,11638,2277,5341,0.8326,0.2583,0.7662
College of St Joseph,842,158,33200,21100,12781,4163,1,0.2059,0.5323
Wesley College,841,1481,35199,23590,21945,6703,1,0.2178,0.7553
Gallaudet University,841,1053,29852,13800,11093,10183,1,0.4828,0.6452
Bloomfield College,835,1906,38858,25880,18053,7807,1,0.3642,0.6677
Texas Southern University,832,6288,22311,18566,6770,7660,0.757,0.1633,0.5833
Alabama State University,830,5354,17400,15656,7813,6557,0.6641,0.2517,0.8597
Albertus Magnus College,830,1278,41520,28378,12190,7601,0.3494,0.6063,0.4774
Fort Valley State University,830,2805,19801,18640,2973,6189,0.9753,0.3017,0.7695
Mississippi Valley State University,825,1856,17758,5916,3148,5621,0.9851,0.2598,0.6186
Central State University,825,2028,17380,13510,4338,6423,1,0.2518,0.7074
Alabama A & M University,823,4051,18888,12774,9063,7079,0.8856,0.2914,0.8574
Bethune-Cookman University,812,3723,27017,14410,9477,5838,0.8436,0.5505,0.8496
Virginia State University,811,5023,20075,17192,5310,7414,0.7374,0.4034,0.7301
Southern University at New Orleans,808,1782,10889,4911,8167,5830,0.7102,0.1119,0.381
University of the Virgin Islands,807,2023,16261,13174,7560,7213,1,0.2438,0.5722
Marygrove College,780,1041,25733,19850,8747,6431,0.8333,0.2931,0.467
Huston-Tillotson University,780,924,25894,13494,13782,5676,0.6322,0.2606,0.6143
Chowan University,777,1361,32188,22510,11818,6164,0.5905,0.244,0.851
Pine Manor College,760,221,36852,24930,11893,5785,0.4894,0.3353,0.3291
Virginia Union University,750,1359,26885,15130,10362,5524,0.6525,0.3547,0.8255
Charles R Drew University of Medicine and Science,735,83,26941,11956,18909,6747,0.5,NA,0.1143
